Mon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,0.7954879032258064,0.6909192204301076,0.5964049731182796,0.8201935483870966,0.7519942204301077,0.7963177419354838,0.6929783602150538,0.7015747311827958,0.7076623655913977,0.7091506720430109,0.7651595430107526,0.8606673387096776,0.6735364247311827,0.645598252688172,0.7225889784946236,0.5754162634408603,0.6753805107526882,0.7380170698924732,0.6638947580645161,0.7547516129032258
2,0.7959950892857142,0.6641205357142855,0.5802293154761904,0.8090373563218392,0.6860273809523811,0.7924647321428573,0.6776767857142857,0.6945488505747125,0.6985278273809523,0.7362153273809523,0.7704363095238095,0.8530094827586209,0.6932604166666668,0.6484186011904763,0.7183604166666667,0.603972988505747,0.6822880952380952,0.7530891369047621,0.7014553571428569,0.6849336206896551
3,0.8172159946236557,0.6208345430107526,0.5262696236559139,0.8480110215053762,0.6956310483870967,0.7285006720430107,0.6844934139784946,0.6737385752688173,0.6199416666666667,0.7568228494623658,0.7744016129032256,0.933024193548387,0.7124034946236557,0.6270444892473118,0.6849283602150539,0.5944081989247312,0.5820623655913978,0.8108913978494624,0.5736350806451612,0.6549985215053763
4,0.7868573611111109,0.5760716666666666,0.5460043055555556,0.8523288888888888,0.7015026388888888,0.7593045833333333,0.7005929166666668,0.6706576388888889,0.6648195833333334,0.646496111111111,0.810495138888889,0.8963895833333334,0.6589524999999999,0.5188743055555556,0.7535736111111111,0.4416465277777777,0.5417525,0.8485894444444445,0.5930558333333332,0.7152091666666667
5,0.5982779569892474,0.35910819892473117,0.40539717741935477,0.6775846774193548,0.5440772849462364,0.7430615591397848,0.6521887096774194,0.7914405913978496,0.6185360215053763,0.7393161290322581,0.7427990591397848,0.5410829301075271,0.5174529569892473,0.4212399193548388,0.8665564516129035,0.3141079301075269,0.5492056451612903,0.7749869623655913,0.42195053763440854,0.7704994623655914
6,0.47063444444444436,0.4081816666666666,0.4713559722222223,0.5343802777777776,0.4268973611111111,0.6781776388888889,0.5037077777777776,0.5906734722222224,0.8466356944444444,0.6381270833333333,0.5446262499999999,0.4411473611111111,0.4910354166666666,0.3804187499999999,0.6115129166666666,0.2986936111111111,0.4235479166666666,0.9710869444444444,0.2974724999999999,0.38783416666666665
7,0.45026599462365585,0.5523950268817204,0.32678696236559135,0.35693991935483865,0.6271145161290322,0.6106887096774193,0.7009494623655916,0.47407244623655914,0.7272942204301074,0.5613076612903225,0.5435463709677419,0.42607526881720437,0.5846975806451613,0.2517315860215053,0.6145694892473118,0.19342983870967742,0.2516959677419355,0.718654435483871,0.24788360215053762,0.3692854838709677
8,0.5490499999999998,0.3316846774193547,0.5572448924731183,0.6010657258064515,0.9022848118279571,0.6944645161290323,1.002368682795699,0.4599138440860215,0.7292130376344085,1.0739501344086022,0.8303668010752686,0.5319668010752687,0.6271810483870968,0.28657836021505384,0.7417418010752688,0.3287189516129032,0.4974596774193549,0.5980720430107527,0.408881317204301,0.6619415322580645
9,0.4839118055555556,0.4866761111111112,1.3397226388888892,0.5465234722222224,1.0308061111111113,0.7173802777777777,0.5874622222222221,0.48316805555555553,0.856211388888889,1.1935401388888889,1.3438836111111108,0.7687745833333332,0.6652343055555556,0.35167013888888893,0.5008976388888888,0.5724575000000002,0.6886761111111109,0.6129969444444444,0.8041697222222223,0.4809305555555555
10,0.49516008064516137,0.6096817204301074,1.1606236559139784,0.6304434139784947,1.227907930107527,0.7310975806451612,0.6825541666666665,0.5834954301075268,0.9377282258064514,0.8325034946236558,1.1239276881720428,0.6472315860215054,0.6619001344086022,0.6763967741935484,0.5452163978494622,0.6789450268817205,1.4073911290322578,0.6141013440860215,0.7544618279569894,0.46936344086021525
11,0.6511323611111112,0.5454969444444445,0.9802220833333333,0.6982940277777779,0.9486047222222224,0.7015076388888889,0.7112025000000001,0.5217027777777778,0.7884929166666667,0.7885751388888891,0.8948675,0.6267969444444446,0.694565972222222,0.6822611111111111,0.5273988888888888,0.7189859722222224,0.9538,0.6557913888888888,0.7165277777777775,0.6280716666666667
12,0.7480575268817204,0.6001163978494625,0.8566168010752688,0.7595139784946238,0.8650071236559141,0.6972372311827958,0.715363306451613,0.6888532258064516,0.735004301075269,0.7544586021505376,0.9212627688172044,0.6726419354838709,0.6445403225806452,0.7333283602150537,0.5428959677419355,0.7107920698924729,0.7548961021505378,0.7168717741935484,0.7097760752688169,0.7418904569892473
